stock_ticker,sic
KKD,5400
KKR,6282
KKR.PC,6282
KLAC,3827
KLAC,3827
KMB,2621
KMB,2621
KMG,2860
KMI,4923
KMI.1,4923
KMX,5500
KMX,5500
KNX,4213
KO,2086
KO,2086
KR,5411
KR,5411
KRB,6020
KRFT,2000
KRI,2711
KSS,5311
KSS,5311
KSU,4011
KSU,4011
KSU.P,4011
L,6331
L,6331
LAD,5500
LAMR,6798
LAZR,3714
LBRDA,4812
LBRDB,4812
LBRDK,4812
LBTYA,4841
LBTYA,4841
LBTYB,4841
LBTYB,4841
LBTYK,4841
LBTYK,4841
LCC,4512
LCC,4512
LCID,3711
LDOS,7373
LEA,2531
LEA,2531
LEARQ,2531
LEN,1531
LEN,1531
LEN.B,1531
LEN.B,1531
LH,8071
LH,8071
LHX,3812
LITE,3576
LLL.,2300
LLTC,3674
LLTC,3674
LLY,2834
LLY,2834
LM,6282
LM,6282
LMDIA,4841
LMDIB,4841
LMND,6331
LMT,3760
LMT,3760
LNC,6311
LNC,6311
LNC.P,6311
LNC.PD,6311
LNCR,8090
LNG,1311
LNKD,7370
LO,2111
LO,2111
LOGM,7370
LOW,5211
LOW,5211
LPLA,6211
LRCX,3559
LRCX,3559
LSCC,3674
LSCC,3674
LSI,6798
LSI,6798
LULU,2300
LUMN,4813
LUV,4512
LUV,4512
LVGO,3845
LVLT,4813
LVLT,4813
LVS,7990
LVS,7990
LW,2030
LXK,3577
LXK,3577
LYFT,4100
LYO,2860
LYV,7900
LZ,8111
M,5311
M,5311
MA,7389
MA,7389
MAN,7363
MAR,7011
MAR,7011
MARA,7370
MAS,3430
MAS,3430
MASI,3845
MAT,3942
MAT,3942
MATK,2833
MAY,6726
MBI,6351
MCD,5812
MCD,5812
MCHP,3674
MCHP,3674
MCIP,4813
MCK,5122
MCK,5122
MCO,7323
MCO,7323
MDB,7370
MDC,1531
MDCO,2834
MDLZ,2052
MDT,3845
MDT,3845
MDVN,2836
ME,8071
MEE,1220
MEE,1220
MELI,5960
MER,6211
MET,6311
MET,6311
MET.PA,6311
MET.PF,6311
META,7370
MEU,6311
MFE,7372
MFE,7372
MGG,4610
MGM,7990
MGM,7990
MGNI,7310
MHK,2273
MHK,2273
MHS,5912
MHS,5912
MI,7370
MIK.1,5945
MJN,2020
MKC,2090
MKC.V,2090
MKTX,6200
MLM,1400
MLM,1400
MLNM,2835
MMC,6411
MMC,6411
MMI,6531
MMM,9997
MMM,9997
MNKD,2836
MNST,2086
MNST,2086
MO,2111
MO,2111
MOGN,2834
MOH,6324
MOLX,3678
MOLXA,3678
MON,9995
MONCU,9995
MOS,2870
MOS,2870
MOS.P.,2870
MP,1090
MPC,2911
MPF.,6211
MPWR,3674
MRK,2834
MRK,2834
MRK.WI,2834
MRNA,2836
MRO,1311
MRO,1311
MRVC,3661
MRVL,3674
MS,6211
MS,6211
MS.PP,6211
MSCC,3674
MSCI,6282
MSFT,7372
MSFT,7372
MSI,3663
MSTR,7372
MSTR,7372
MTB,6020
MTB,6020
MTB.PH,6020
MTCH,7370
MTD,3826
MTG,6351
MTG,6351
MTLQQ,3711
MTLQQ,3711
MTW,3530
MU,3674
MU,3674
MUR,1311
MUR,1311
MUSE,7372
MVK,3317
MVL,6794
MXIM,3674
MXIM,3674
MXO,3572
MYG,6722
MYGN,2835
N,7373
NAV,3711
NAV,3711
NBIX,2836
NBL,1311
NBL,1311
NBR,1381
NCC,6020
NCEN,4991
NDAQ,6200
NDAQ,6200
NEBLQ.1,1381
NEE,4911
NEE.PO,4911
NEE.PP,4911
NEE.PQ,4911
NEE.PQ.1,4911
NEE.PR,4911
NEM,1040
NEM,1040
NEMUF,1040
NEMUF,1040
NEON,3663
NET,7370
NETL,6722
NFB,6020
NFLX,7841
NFLX,7841
NFX,1311
NFX,1311
NGT.,1040
NI,4932
NI,4932
NI.PB.,4932
NIHD,4812
NIHDQ,4812
NIHDQ,4812
NIMC,4932
NKE,3021
NKE,3021
NKLA,3711
NKTR,2834
NLC,2890
NNS,3730
NOC,3812
NOC,3812
NOC.PE,3812
NOV,3533
NOV,3533
NOVL,7370
NOW,7372
NRG,4911
NRG,4911
NSC,4011
NSC,4011
NSCN,3576
NSE.2,4932
NSM,6162
NTAP,3572
NTAP,3572
NTIQ,7372
NTLA,2836
NTNX,7370
NTRI,5961
NTRO,1311
NTRS,6020
NTRS,6020
NTY,2834
NU,6020
NUAG.,1040
NUAN,7372
NUBIU,3690
NUE,3312
NUE,3312
NUS,2844
NVAX,2836
NVDA,3674
NVDA,3674
NVE,4911
NVLS,2836
NVR,1531
NVR,1531
NWL,3630
NWL,3630
NWS,2711
NWSA,2711
NXTL,4812
NYT,2711
NYTAB,2711
OC,3290
OCR,5912
OCR,5912
ODFL,4213
ODP,5940
ODP,5940
OHP,6324
OI,3221
OI,3221
OI.PA,3221
OII,1389
OIS,3533
OKE,4923
OKTA,7370
OLED,3674
OLLI,5331
OMC,7311
OMC,7311
OMKT,7372
OMPT,4812
OMX,5110
ON,3674
ONCE,2836
ONIS,3661
ONXX,2834
OPEN,6531
ORCL,7372
ORCL,7372
ORL.1,1311
ORLY,5531
ORLY,5531
OSIP,2835
OSIP,2835
OSK,3711
OSK,3711
OTIS,3530
OVER,7370
OVTI,3674
OVV,1311
OVV.,1311
OXY,1311
OXY,1311
P,7370
PALM,3571
PALM,3571
PANW,7370
PARA,4833
PARAA,4833
PATH,7372
PAY,7374
PAYC,7370
PAYX,8721
PAYX,8721
PBCT,6020
PBCT,6020
PBG,2086
PBG,2086
PBI,4210
PBI,4210
PBOWN,4210
PBYI,2836
PCAR,3711
PCAR,3711
PCG,4931
PCG,4931
PCGU,4931
PCP,3728
PCP,3728
PCS,4812
PCS,4812
PCX,9995
PCXCU,9995
PCYC,2835
PDCO,5047
PDE,1381
PDE,1381
PDLI,2836
PE,1311
PE.PA,4911
PE.PB,4911
PE.PC,4911
PE.PD,4911
PEB,6798
PEG,4931
PEG,4931
PEN,3841
PENN,7990
PEP,2080
PEP,2080
PETM,5990
PETM,5990
PF,2030
PFE,2834
PFE,2834
PFG,6282
PFG,6282
PFG.PB,6282
PFPT,7372
PG,2840
PG,2840
PGR,6331
PGR,6331
PH,3490
PH,3490
PHM,1531
PHM,1531
PHS,6324
PII,3790
PII,3790
PINS,7370
PIXR,7812
PKG,2650
PLAN,7370
PLCM,3661
PLL,1400
PLL.2,1400
PLLTL,1400
PLMO,2836
PLNT,7997
PLP.Z,1311
PLP.Z,1311
PLTR,7370
PLUG,3674
PM,2111
PM,2111
PMCS,3674
PNC,6020
PNC,6020
PNC.PC,6020
PNC.PD,6020
PNC.PL,6020
PNC.PL,6020
PNRA,5812
PNU,6726
PODD,3845
POOL,5090
PPG,2851
PPG,2851
PPL,4911
PPL,4911
PRGO,2834
PRU,6311
PRU,6311
PRX,2834
PSX,2911
PTC,7372
PTEN,1381
PTEN,1381
PTON,7370
PTV,3089
PTV,3089
PVH,2300
PVN,6020
PWR,1731
PWR,1731
PX,6282
PXD,1311
PXD,1311
PXD.,1311
PXD.,1311
PXP,1311
PXP,1311
PYPL,7389
QCOM,3674
QCOM,3674
QCOR,2834
QDEL,2835
QLGC,3570
QRVO,3674
QS,3690
QTRN,8731
R,7510
RAH,2000
RAH,2000
RAI,2111
RAI,2111
RATL,7370
RAX,7370
RBAK,7373
RBK,3021
RBLX,7370
RCPT,2836
RDC,1381
RDC,1381
RDN,6351
REGN,2834
REI,1311
RF,6020
RF,6020
RGL.,6795
RGLD,6795
RH,5712
RHT,7372
RHT,7372
RIOT,7372
RIVN,3711
RJF,6211
RKT,6162
RL,2300
RL,2300
RLR,6311
RMBS,6794
RMBS,6794
RMD,3845
RNG,7370
RNWK,7370
ROH,2821
ROK,3620
ROK,3620
ROK920,3620
ROKU,4841
ROP,7370
ROST,5651
ROST,5651
RRC,1311
RRC,1311
RRD,2750
RRD.2,2750
RSG,4953
RSG,4953
RSPP,1311
RTN,3812
RTN,3812
RTN.A,3812
RTX,3724
RUN,3620
RVBD,3576
RX,8700
RX,8700
RYL,1531
S,7372
SAIA,4213
SAIL,7370
SAM,2082
SANM,3672
SAPE,7373
SAVE,4512
SBAC,6798
SBNY,6020
SBT.1,4812
SBUX,5812
SBUX,5812
SCCO,1000
SCG,4931
SCHW,6282
SCHW,6282
SCI,7200
SCMR,9995
SD,1311
SDLI,3674
SDOCQ,1311
SDS,6722
SE,7370
SEBL,7372
SEDG,3674
SEE,3081
SEE,3081
SEPR,2834
SFD,2013
SFIX,5961
SFSF,7372
SGEN,2836
SGI,3571
SGP,2834
SHAW,8711
SHLD,6722
SHW,2851
SHW,2851
SIAL,2833
SIAL,2833
SII,6282
SII.,6282
SII.,6282
SIRI,4832
SIRI,4832
SJM,2033
SJM,2033
SJM.B,2033
SKLZ,7370
SKX,3140
SLAB,3674
SLCA,1400
SLE,7370
SLM,6141
SLR,3672
SLR.PS,3672
SLX.2,2834
SLXP,2834
SM,1311
SMCI,3570
SMTC,3674
SNA,3420
SNAP,7370
SNDK,3572
SNDK,3572
SNI,4833
SNOW,7370
SNPS,7372
SNPS,7372
SNV,6020
SO,4911
SO,4911
SOA,2820
SOFI,6141
SOHU,7372
SOHU.1,7372
SOHU.1,7372
SOLN,4911
SONE,7373
SOTR,6020
SOV,6020
SOV.PA,6020
SPCE,4700
SPCE.U,4700
SPGI,7323
SPLK,7372
SPLS,5110
SPLS,5110
SPR,3728
SQ,7374
SRCL,4955
SRCL,4955
SRE,4923
SRE,4923
SRNE,2836
SRPT,2836
STI,3690
STJ,3845
STJ,3845
STLD,3312
STLD,3312
STN,8711
STN.,8711
STR,1311
STRA,8200
STRZA,4833
STRZB,4833
STT,6020
STT,6020
STZ,2082
STZ.B,2082
SUB,6722
SUG,4924
SUN,5172
SVU,5141
SWAV,3845
SWCM,7372
SWK,3540
SWKS,3674
SWN,1311
SWN,1311
SWP.2,3540
SWT,3540
SWY,5411
SWY,5411
SY,7370
SYF,6141
SYF.PA,6141
SYK,3841
SYK,3841
SYY,5140
SYY,5140
T,4812
T,4812
TAN,6722
TAP,2082
TAP,2082
TAP.,6331
TAP.A,2082
TAP.A,2082
TAP.AZ,6331
TAP.Z,2082
TAP.Z,2082
TAP.Z.,2082
TAP.Z.,2082
TDA.1,4812
TDC,7370
TDG,3728
TDI.2,4812
TDOC,8090
TDS,4812
TDS.S,4812
TDW.1,4400
TE,4931
TEAM,7370
TECH,2836
TER,3825
TER,3825
TEX,3530
TEX,3530
TFC,6020
TFC.PI,6020
TGH,7359
TGT,5331
TGT,5331
THC,8062
THC,8062
THE,1381
THO,3790
TIBX,7372
TIBX,7372
TIE,3350
TIF,5944
TIF,5944
TIN,2631
TIN,2631
TJX,5651
TJX,5651
TKPPY,1389
TKPPY,1389
TLAB,3661
TLAB,3661
TLGD,3825
TLRY,2834
TLRY.,2834
TLWT,4813
TMO,3826
TMO,3826
TMUS,4812
TNDM,3845
TNHPY,1389
TOL,1531
TOL,1531
TOST,7389
TOY,5945
TPR,3100
TPX,2510
TQNT,3674
TRA,2870
TRA,2870
TRA.2,2870
TRA.2,2870
TRB,4833
TRBC.1,4833
TRGP,4923
TRI,7370
TRI.,7370
TRIP,7370
TRN,3743
TROW,6282
TROW,6282
TRV,6331
TRV,6331
TRW,3714
TRW,3714
TRY,5812
TSCO,5200
TSLA,3711
TSN,2011
TSRO,2836
TSS,7389
TT,3585
TTD,7370
TTN,7373
TTWO,7372
TTWO,7372
TW,7370
TWC,4841
TWC,4841
TWLO,7370
TWTR,7370
TWX,4888
TWX,4888
TX,3312
TXN,3674
TXN,3674
TXT,3721
TXT,3721
TXT.PA,3721
TXT.PA,3721
TXT.PB,3721
TXT.PB,3721
TXU,4911
TYL,7373
U,7372
UA,2300
UAA,2300
UAL,4512
UAL,4512
UB,6020
UBER,4100
UDS,2911
UHID,8062
UHID,8062
UHS,8062
UHS,8062
UIS,7373
ULR.,2911
ULTA,5990
ULTI,7372
UNH,6324
UNH,6324
UNM,6321
UNM,6321
UNM.PA,6321
UNN,6321
UNP,4011
UNP,4011
UPS,4210
UPS,4210
UPST,6141
URBN,5651
URBN,5651
URI,7350
URS,8711
USB,6020
USB,6020
USB.PA,6020
USB.PP,6020
USB.PQ,6020
USM,4812
USWB,7373
UTHR,2834
UTSI,3663
UZG,4812
UZV,4812
V,6099
V,6099
VAR,3845
VAR,3845
VECO,3559
VEEV,7370
VERT,7372
VERT.U,3679
VFC,2300
VFC,2300
VIA.1,4833
VIA.1,4833
VIAB,4833
VIAB,4833
VIGN,7372
VLO,2911
VLO,2911
VMC,1400
VMC,1400
VMED,4841
VMED,4841
VMEDW,4841
VMW,7373
VMW,7373
VOYA,6311
VPHM,2834
VRSK,8742
VRSN,7370
VRSN,7370
VRT,3679
VRTA,6799
VRTS,6282
VRTX,2834
VRTX,2834
VRUS,5140
VSEA,3559
VSEA,3559
VSH,3670
VST,4911
VTSS,3674
VZ,4812
VZ,4812
W,5961
WAB,3743
WAL,6020
WAT,3826
WAT,3826
WBA,5912
WBD,4841
WCC,5063
WCG,6324
WCG,6324
WCOEQ,4813
WCOMP,4813
WDAY,7370
WDC,3572
WDC,3572
WEC,4931
WEC,4931
WEN,5812
WFC,6020
WFC,6020
WFC.PJ,6020
WFC.PJ,6020
WFC.PL,6020
WFC.PL,6020
WFC.PY,6020
WFM,5411
WHIT,1311
WHR,3630
WHR,3630
WKHS,3711
WLA,2834
WLL,1311
WLL.2,1311
WLL.2,1311
WM,4953
WM,4953
WMB,4922
WMB,4922
WMT,5331
WMT,5331
WOLF,3674
WOOF,5990
WORK,7370
WP,7374
WPX,1311
WSM,5961
WSM,5961
WST,3060
WTW,6411
WTW,6411
WU,6099
WU,6099
WWAV,2020
WWAV.B,2020
WWCA,3523
WWY,2060
WY,2400
WYE,2834
WYE.P,2834
WYNN,7990
WYNN,7990
X,3312
X,3312
XEC,1311
XEL,4931
XEL,4931
XEL.PA,4931
XEL.PB,4931
XEL.PC,4931
XEL.PD,4931
XEL4,4911
XGM,3711
XLNX,3674
XLNX,3674
XMSR,4832
XOM,2911
XOM,2911
XOXO,7370
XPO,4213
XRAY,3843
XRAY,3843
XRX,3577
XRX,3577
XTO,1311
XTO,1311
XYL,3561
YELP,7370
YUM,5812
YUM,5812
YUMC,5812
Z,7370
Z.1,5661
Z.1,5661
ZAYO,4899
ZBH,3842
ZBRA,3577
ZEN,7370
ZG,7370
ZI,7370
ZION,6020
ZION,6020
ZM,7370
ZNGA,7372
ZS,7370
ZTS,2834
ZTS.WI,2834
